indicator_id,countrycode,year,country_score,banded,imputed
91,AGO,2013,6.55,6.553,No
91,AGO,2014,7.17,7.17,No
91,AGO,2015,6.88,6.881,No
91,AGO,2016,6.39,6.391,No
91,AGO,2017,6.1,6.097,No
91,AGO,2018,6.5,6.496,No
91,AGO,2019,6.52,6.52,No
91,AGO,2020,5.81,5.806,No
91,AGO,2021,6.06,6.06,No
91,AGO,2022,6.24,6.24,No
91,AGO,2023,6.12,6.123,No
89,AGO,2013,3.83,3.831,No
89,AGO,2014,3.87,3.872,No
89,AGO,2015,3.84,3.836,No
89,AGO,2016,3.88,3.878,No
89,AGO,2017,3.84,3.84,No
